Música,Artista,Letra,Contagem_Palavras,Frequencia_Palavras
Surra De Toma - Ao Vivo,Léo Santana,"Ela fica me ligando dizendo que ainda me ama
Tá doida pra ir pra cama e sentir o meu prazer
Do jeito que eu te pego, te mostro o meu segredo
E faço de um jeitinho pra você não esquecer
No quarto é uma loucura, te pego pela cintura
Dou beijinho na sua nuca e te chamo de bebê
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
De dia, manda mensagem, à noite tá me ligando
Ela gosta quando eu passo sarrando, sarrando
De dia, manda mensagem, à noite tá me ligando
Ela gosta quando eu passo sarrando, sarrando
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
Vai, toma-toma (toma, toma)
Vai, toma-toma (toma, toma)
Vai, toma-toma (toma, toma)
Vai, toma-toma (toma, toma)
Ela fica me ligando dizendo que ainda me ama
Tá doida pra ir pra cama e sentir o meu prazer
Do jeito que eu te pego, te mostro o meu segredo
E faço de um jeitinho pra você não esquecer
No quarto é uma loucura, te pego pela cintura
Dou beijinho na sua nuca e te chamo de bebê
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
De dia, manda mensagem, à noite tá me ligando
Ela gosta quando eu passo sarrando, sarrando
De dia, manda mensagem, à noite tá me ligando
Ela gosta quando eu passo sarrando, sarrando
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
Vai, toma-toma (toma, toma)
Vai, toma-toma (toma, toma)
Vai, toma-toma (toma, toma)
Vai, toma-toma (toma, toma)
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
Vai ser surra de toma-toma
Botada, sarradinha, vai, safadona
Vai, toma-toma (toma, toma)
Vai, toma-toma (toma, toma)
Vai, toma-toma (toma, toma)
Vai, toma-toma (toma, toma)",196,"{'fica': 2, 'ligando': 6, 'dizendo': 2, 'ainda': 2, 'ama': 2, 'tá': 6, 'doida': 2, 'pra': 6, 'ir': 2, 'cama': 2, 'sentir': 2, 'prazer': 2, 'jeito': 2, 'pego': 4, 'mostro': 2, 'segredo': 2, 'faço': 2, 'jeitinho': 2, 'esquecer': 2, 'quarto': 2, 'loucura': 2, 'cintura': 2, 'dou': 2, 'beijinho': 2, 'nuca': 2, 'chamo': 2, 'bebê': 2, 'vai': 32, 'surra': 10, 'botada': 10, 'sarradinha': 10, 'safadona': 10, 'dia': 4, 'manda': 4, 'mensagem': 4, 'noite': 4, 'gosta': 4, 'passo': 4, 'sarrando': 8, 'toma': 24}"
Fui Mlk,"Nilo, Mc Paiva ZS, DJ Di Marques","이별을 말하고 넌 괜찮은 거니ibyeoleul malhago neon gwaenchaneun geoni
여전히 내 하루는 온통 네 생각에yeojeonhi nae haruneun ontong ne saenggake
뜨는 눈으로 밤을 지새고tteun nuneuro bameul jisaego
난 두려워 시간이 쌓여갈수록nan duryeowo sigani ssatyeogalsurok

내가 이태여질까 봐 우리 시간마저naega ithyeojilkka bwa uri siganmajeo
모두 무너질까 봐modu muneojilkka bwa
나도 모르게 너무 보고 싶어서nado moreuge neomu bogo sipeoseo
네 집 앞을 찾아가ne jip apeul chataga
너도 나만큼은 아닐지라도neodo namankeumeun aniljirado
보고 싶었다고bogo sipeotdago
말해줘 지금 나 네 집 앞에 있어malhaejwo jigeum na neoui jip ape iteo
우리의 시간을 되돌려줘uriui siganeul doedolryeojwo

아무 일도 없던 것처럼 날 안아줘amu ildo eopdeon geotcheoreom nal anajwo
끝이란 게 난 너무나 두려워서kkeutiraneun ge nan neomuna duryeowoseo
다가가지도 못하고dagagajido mothago
한참 서성이다 말도 못하고hancham seoseongida maldo mothago
다시 돌아가는 나dasi dolaganeun na
하루가 가고 또 하루가 지나도haruga gago tto haruga jinado
갈수록 커져만 가galsurok keojyeoman ga
맘에 없는 거짓말이라도mame eopneun geojitmalirado
날 사랑한다고nal saranghandago
말해줘 지금 나 네 집 앞에 있어malhaejwo jigeum na neoui jip ape iteo
우리의 시간을 되돌려줘uriui siganeul doedolryeojwo

아무 일도 없던 것처럼 날 안아줘amu ildo eopdeon geotcheoreom nal anajwo
끝이란 게 난 너무나 두려워서kkeutiraneun ge nan neomuna duryeowoseo
다가가지도 못하고dagagajido mothago

한참 서성이면 우리 한 번은hancham seoseongimyeon uri han beoneun
단 한 번쯤은 마주치진 않을까dan han beonjjeumeun majuchijin aneulkka
당장이라도 전활 걸어dangjangirado jeonhwal geoleo
네 목소리 듣고 싶은데ne moksori deutgo sipeunde
내가 더 싫어지게 될까 봐naega deo sileojige doelkka bwa
작은 감정마저 그렇게 사라질까 봐jakeun gamjeongmajeo geureotge sarajilkka bwa
마음이란 게 말처럼 되질 않잖아maeumiran ge malcheoreom doejil anjana

보다 조금만 널 사랑했더라면boda jogeumman neol saranghaetdeoramyeon
스치는 바람처럼 스쳐 지나갈 텐데seuchineun baramcheoreom seuchyeo jinagal tende
끝이란 게 난 너무나 두려워서kkeutiraneun ge nan neomuna duryeowoseo
다가가지도 못하고dagagajido mothago
한참 서성이다 혹시 마주치게 된다면hancham seoseongida hoksi majuchige doendamyeon
나처럼 아픈 시간 속에 살았기를nacheoreom apeun sigan soke salatgireul
오늘도 난 돌아서지만oneuldo nan dolaseojiman
",293,"{'이별을': 1, '말하고': 1, '넌': 1, '괜찮은': 1, '거니ibyeoleul': 1, 'malhago': 1, 'neon': 1, 'gwaenchaneun': 1, 'geoni': 1, '여전히': 1, '내': 1, '하루는': 1, '온통': 1, '네': 5, '생각에yeojeonhi': 1, 'nae': 1, 'haruneun': 1, 'ontong': 1, 'ne': 1, 'saenggake': 1, '뜨는': 1, '눈으로': 1, '밤을': 1, '지새고tteun': 1, 'nuneuro': 1, 'bameul': 1, 'jisaego': 1, '난': 5, '두려워': 1, '시간이': 1, '쌓여갈수록nan': 1, 'duryeowo': 1, 'sigani': 1, 'ssatyeogalsurok': 1, '내가': 2, '이태여질까': 1, '봐': 1, '우리': 2, '시간마저naega': 1, 'ithyeojilkka': 1, 'bwa': 4, 'uri': 2, 'siganmajeo': 1, '모두': 1, '무너질까': 1, '봐modu': 1, 'muneojilkka': 1, '나도': 1, '모르게': 1, '너무': 1, '보고': 2, '싶어서nado': 1, 'moreuge': 1, 'neomu': 1, 'bogo': 1, 'sipeoseo': 1, '집': 3, '앞을': 1, '찾아가ne': 1, 'jip': 3, 'apeul': 1, 'chataga': 1, '너도': 1, '나만큼은': 1, '아닐지라도neodo': 1, 'namankeumeun': 1, 'aniljirado': 1, '싶었다고bogo': 1, 'sipeotdago': 1, '말해줘': 2, '지금': 2, '나': 2, '앞에': 2, '있어malhaejwo': 2, 'jigeum': 2, 'neoui': 2, 'ape': 2, 'iteo': 2, '우리의': 2, '시간을': 2, '되돌려줘uriui': 2, 'siganeul': 2, 'doedolryeojwo': 2, '아무': 2, '일도': 2, '없던': 2, '것처럼': 2, '날': 3, '안아줘amu': 2, 'ildo': 2, 'eopdeon': 2, 'geotcheoreom': 2, 'nal': 2, 'anajwo': 2, '끝이란': 3, '게': 4, '너무나': 3, '두려워서kkeutiraneun': 3, 'ge': 4, 'nan': 4, 'neomuna': 3, 'duryeowoseo': 3, '다가가지도': 3, '못하고dagagajido': 3, 'mothago': 4, '한참': 3, '서성이다': 2, '말도': 1, '못하고hancham': 1, 'seoseongida': 2, 'maldo': 1, '다시': 1, '돌아가는': 1, '나dasi': 1, 'dolaganeun': 1, '하루가': 2, '가고': 1, '또': 1, '지나도haruga': 1, 'gago': 1, 'tto': 1, 'haruga': 1, 'jinado': 1, '갈수록': 1, '커져만': 1, '가galsurok': 1, 'keojyeoman': 1, 'ga': 1, '맘에': 1, '없는': 1, '거짓말이라도mame': 1, 'eopneun': 1, 'geojitmalirado': 1, '사랑한다고nal': 1, 'saranghandago': 1, '서성이면': 1, '한': 2, '번은hancham': 1, 'seoseongimyeon': 1, 'han': 2, 'beoneun': 1, '단': 1, '번쯤은': 1, '마주치진': 1, '않을까dan': 1, 'beonjjeumeun': 1, 'majuchijin': 1, 'aneulkka': 1, '당장이라도': 1, '전활': 1, '걸어dangjangirado': 1, 'jeonhwal': 1, 'geoleo': 1, '목소리': 1, '듣고': 1, '싶은데ne': 1, 'moksori': 1, 'deutgo': 1, 'sipeunde': 1, '더': 1, '싫어지게': 1, '될까': 1, '봐naega': 1, 'deo': 1, 'sileojige': 1, 'doelkka': 1, '작은': 1, '감정마저': 1, '그렇게': 1, '사라질까': 1, '봐jakeun': 1, 'gamjeongmajeo': 1, 'geureotge': 1, 'sarajilkka': 1, '마음이란': 1, '말처럼': 1, '되질': 1, '않잖아maeumiran': 1, 'malcheoreom': 1, 'doejil': 1, 'anjana': 1, '보다': 1, '조금만': 1, '널': 1, '사랑했더라면boda': 1, 'jogeumman': 1, 'neol': 1, 'saranghaetdeoramyeon': 1, '스치는': 1, '바람처럼': 1, '스쳐': 1, '지나갈': 1, '텐데seuchineun': 1, 'baramcheoreom': 1, 'seuchyeo': 1, 'jinagal': 1, 'tende': 1, '혹시': 1, '마주치게': 1, '된다면hancham': 1, 'hoksi': 1, 'majuchige': 1, 'doendamyeon': 1, '나처럼': 1, '아픈': 1, '시간': 1, '속에': 1, '살았기를nacheoreom': 1, 'apeun': 1, 'sigan': 1, 'soke': 1, 'salatgireul': 1, '오늘도': 1, '돌아서지만oneuldo': 1, 'dolaseojiman': 1}"
Ilusão De Ótica - Ao Vivo,"Matheus & Kauan, Ana Castela","Erro ao buscar letra: Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("".lyric"") to be visible
",0,{}
MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1,"DJ TOPO, Mc Livinho","Num futuro perto
Quero atender sua chamada
Batendo a hora das agendas
Pro nosso fight se concretizar
Na imaginação, já fiz coisas com você
Cê não mensura o quanto foi bom
E a cada ação mais virava seu fã
Conteúdo exclusivo, mostrando seu dom
Sem apelação, não é à toa que é tão cobiçada
Qual é a boa? Me explica essa charada
Receba essa botada, toma, toma catucada (me explica essa charada)
Toma, toma catucada (me explica essa charada)
Toma, toma catucada (me explica essa charada)
Na imaginação, já fiz coisas com você
Cê não mensura o quanto foi bom
E a cada ação mais virava seu fã
Conteúdo exclusivo, mostrando seu dom
Num fut—, num fut—, num futuro perto
Quero atender sua chamada
Batendo a hora das agendas
Pro nosso fight se concretizar
Na imaginação, já fiz coisas com você
Cê não mensura o quanto foi bom
E a cada ação mais virava seu fã
Conteúdo exclusivo, mostrando seu dom
Sem apelação, não é à toa que é tão cobiçada
Qual é a boa? Me explica essa charada
Receba essa botada, toma, toma catucada (me explica essa charada)
Toma, toma catucada (me explica essa charada)
Toma, toma catucada (me explica essa charada)
Na imaginação, já fiz coisas com você
Cê não mensura o quanto foi bom
E a cada ação mais virava seu fã
Conteúdo exclusivo, mostrando seu dom
Sem apelação
(Me explica essa charada)
(Me explica essa charada)
(Me explica essa charada)
Sem apelação
(Me explica essa charada)
(Me explica essa charada)
(Me explica essa charada)
(E aê, DJ Topo?)",147,"{'futuro': 2, 'perto': 2, 'quero': 2, 'atender': 2, 'chamada': 2, 'batendo': 2, 'hora': 2, 'agendas': 2, 'pro': 2, 'fight': 2, 'concretizar': 2, 'imaginação': 4, 'fiz': 4, 'coisas': 4, 'cê': 4, 'mensura': 4, 'quanto': 4, 'bom': 4, 'cada': 4, 'ação': 4, 'virava': 4, 'fã': 4, 'conteúdo': 4, 'exclusivo': 4, 'mostrando': 4, 'dom': 4, 'apelação': 4, 'toa': 2, 'tão': 2, 'cobiçada': 2, 'boa': 2, 'explica': 14, 'charada': 14, 'receba': 2, 'botada': 2, 'toma': 12, 'catucada': 6, 'aê': 1, 'dj': 1, 'topo': 1}"
Malvadinho,"MC LUUKY, DJ JB Mix","(Se ela tá com a amiga no pião, ela quer sentar pro malvadinho)
(Uma dose de gin, um ice que congela a mente)
(É que mil tá foda pra pagar, nem paguei)
JB Mix, mais uma, né?
Tô contando um vento
Nóis é a cara do momento
Putas e putas jogando, dinheiro espalhado pelo apartamento
Pra elas, o procedimento
Vem por Pix que eu jogo tudo dentro
Se essas puta quer amor, ronca o robô
Pro seu coração só lamento
Se ela tá com a amiga no pião, ela quer sentar pro malvadinho
Uma dose de gin, um ice que congela a mente
Se eu levar essa mina pro bailão, acho que ela fica facinho
Eu sei que ela é do job, mas nem cobra da gente
É que mil tá foda pra pagar, nem paguei
Ela que queria me cobrar, enganei
E hoje em dia ela quer sentar mais uma vez
Hoje em dia ela quer sentar mais uma vez
Se ela tá com a amiga no pião, ela quer sentar pro malvadinho
Uma dose de gin, um ice que congela a mente
Se eu levar essa mina pro bailão, acho que ela fica facinho
Eu sei que ela é do job, mas nem cobra da gente
Se ela tá com a amiga no pião, ela quer sentar pro malvadinho
Uma dose de gin, um ice que congela a mente
Se eu levar essa mina pro bailão, acho que ela fica facinho
Eu sei que ela é do job, mas nem cobra da gente
(JB Mix, mais uma, né?)",139,"{'tá': 6, 'amiga': 4, 'pião': 4, 'quer': 7, 'sentar': 6, 'pro': 8, 'malvadinho': 4, 'dose': 4, 'gin': 4, 'ice': 4, 'congela': 4, 'mente': 4, 'mil': 2, 'foda': 2, 'pra': 3, 'pagar': 2, 'paguei': 2, 'jb': 2, 'mix': 2, 'né': 2, 'tô': 1, 'contando': 1, 'vento': 1, 'nóis': 1, 'cara': 1, 'momento': 1, 'putas': 2, 'jogando': 1, 'dinheiro': 1, 'espalhado': 1, 'apartamento': 1, 'procedimento': 1, 'vem': 1, 'pix': 1, 'jogo': 1, 'tudo': 1, 'dentro': 1, 'puta': 1, 'amor': 1, 'ronca': 1, 'robô': 1, 'coração': 1, 'lamento': 1, 'levar': 3, 'mina': 3, 'bailão': 3, 'acho': 3, 'fica': 3, 'facinho': 3, 'sei': 3, 'job': 3, 'cobra': 3, 'gente': 3, 'queria': 1, 'cobrar': 1, 'enganei': 1, 'hoje': 2, 'dia': 2, 'vez': 2}"
Porsche Azul,"Felipe Beats, Vitor Daslent's","Ela quer sentar pro malvadão
Sabe que o pai te bota fortão
Tá louca pra sentir pressão, sentir pressão
Naipe de artista, roupa importada, ela se amarra em mim
A Juju tá na cara, olha o pique dos tralha
Ela tá dando, tá dando condição pra mim
Dentro da Porsche azul
Eu vou sentar pra tu
De frente para o mar
Vou te macetar
Dentro da Porsche azul
Eu vou sentar pra tu
De frente para o mar
Vou te macetar
Dentro da Porsche azul
Eu vou sentar pra tu
De frente para o mar
Vou te macetar
Ela quer sentar pro malvadão
Sabe que o pai te bota fortão
Tá louca pra sentir pressão, sentir pressão
Naipe de artista, roupa importada, ela se amarra em mim
A Juju tá na cara, olha o pique dos tralha
Ela tá dando, tá dando condição pra mim
Dentro da Porsche azul
Eu vou sentar pra tu
De frente para o mar
Vou te macetar
Dentro da Porsche azul
Eu vou sentar pra tu
De frente para o mar
Vou te macetar
Dentro da Porsche azul
Eu vou sentar pra tu
De frente para o mar
Vou te macetar",128,"{'quer': 2, 'sentar': 8, 'pro': 2, 'malvadão': 2, 'sabe': 2, 'pai': 2, 'bota': 2, 'fortão': 2, 'tá': 8, 'louca': 2, 'pra': 10, 'sentir': 4, 'pressão': 4, 'naipe': 2, 'artista': 2, 'roupa': 2, 'importada': 2, 'amarra': 2, 'mim': 4, 'juju': 2, 'cara': 2, 'olha': 2, 'pique': 2, 'tralha': 2, 'dando': 4, 'condição': 2, 'dentro': 6, 'porsche': 6, 'azul': 6, 'vou': 12, 'frente': 6, 'mar': 6, 'macetar': 6}"
Última Noite - Solo,Léo Foguete,"(O Léo Foguete)
(Ooh)
Se cê quer recaída, parabéns, você vai ter
Mas eu não te prometo nada além de uma noite de prazer
Não vou confrontar meus instintos, já que eles são tão carnais
Mas eu espero que essas situações não virem normais
E eu te busco à meia-noite
E depois disso a gente foge
Pra algum lugar que ninguém vai nos encontrar
E depois disso a gente fode
Vamos fazer dessa a última noite
Viver como se o amanhã não fosse chegar
Então vai, tira a minha paz
Tu senta demais, vai
Faz de um jeito que só você faz
E tira a minha paz
Tu senta demais, vai
E faz de um jeito que só você faz
Ooh
Ê, ê, ê
E eu te busco à meia-noite
E depois disso a gente foge
Pra algum lugar que ninguém vai nos encontrar
E depois disso a gente fode
Vamos fazer dessa a última noite
Viver como se o amanhã não fosse chegar
Então vai, tira a minha paz
Tu senta demais, vai
Faz de um jeito que só você faz
E tira a minha paz
Tu senta demais, vai
Faz de um jeito que só você faz
Ooh
Léo Foguete",108,"{'léo': 2, 'foguete': 2, 'ooh': 3, 'cê': 1, 'quer': 1, 'recaída': 1, 'parabéns': 1, 'vai': 9, 'ter': 1, 'prometo': 1, 'nada': 1, 'além': 1, 'noite': 3, 'prazer': 1, 'vou': 1, 'confrontar': 1, 'instintos': 1, 'tão': 1, 'carnais': 1, 'espero': 1, 'situações': 1, 'virem': 1, 'normais': 1, 'busco': 2, 'disso': 4, 'gente': 4, 'foge': 2, 'pra': 2, 'algum': 2, 'lugar': 2, 'ninguém': 2, 'encontrar': 2, 'fode': 2, 'vamos': 2, 'fazer': 2, 'dessa': 2, 'última': 2, 'viver': 2, 'amanhã': 2, 'chegar': 2, 'então': 2, 'tira': 4, 'paz': 4, 'senta': 4, 'demais': 4, 'faz': 8, 'jeito': 4, 'ê': 3}"
Sei Tocar Violão - Ao Vivo,Clayton & Romário,"Calculadamente
Preciso de umas quinze ou dezesseis na minha mente
Tá no meio de gente
Conhecendo sorriso pra desconhecer quem não tá mais presente
E o garçom
Já tá empilhando cadeira
Recolhendo os copo da mesa
Trazendo a conta sem nem perguntar da saideira
E a mesa do lado num papo que ia pra casa não sei lá de quem
(Ei) deixa eu ir também?
Eu compro a cerveja
Meu carro tem som
Se a turma é caseira
Sei tocar violão
Se tiver carvão, acendo a churrasqueira
Já perdi o meu amor
Não posso perder minha sexta
Eu compro a cerveja
Meu carro tem som
Se a turma é caseira
Sei tocar violão
Se tiver carvão, acendo a churrasqueira
Já perdi o meu amor
Não posso perder minha sexta
(Coisa linda)
E o garçom
Já tá empilhando cadeira
Recolhendo os copo da mesa
Trazendo a conta sem nem perguntar da saideira
E a mesa do lado num papo que ia pra casa não sei lá de quem
(Ei) deixa eu ir também?
Eu compro a cerveja
Meu carro tem som
Se a turma é caseira
Sei tocar violão
Se tiver carvão, acendo a churrasqueira
Já perdi o meu amor
Não posso perder minha sexta
Eu compro a cerveja
Meu carro tem som
Se a turma é caseira
Sei tocar violão
Se tiver carvão, acendo a churrasqueira
Já perdi o meu amor
Não posso perder minha sexta
Já perdi o meu amor
Não posso perder minha sexta
Calculadamente
(Brigada!)",136,"{'calculadamente': 2, 'preciso': 1, 'umas': 1, 'quinze': 1, 'dezesseis': 1, 'mente': 1, 'tá': 4, 'meio': 1, 'gente': 1, 'conhecendo': 1, 'sorriso': 1, 'pra': 3, 'desconhecer': 1, 'presente': 1, 'garçom': 2, 'empilhando': 2, 'cadeira': 2, 'recolhendo': 2, 'copo': 2, 'mesa': 4, 'trazendo': 2, 'conta': 2, 'perguntar': 2, 'saideira': 2, 'lado': 2, 'papo': 2, 'ia': 2, 'casa': 2, 'sei': 6, 'lá': 2, 'ei': 2, 'deixa': 2, 'ir': 2, 'compro': 4, 'cerveja': 4, 'carro': 4, 'som': 4, 'turma': 4, 'caseira': 4, 'tocar': 4, 'violão': 4, 'carvão': 4, 'acendo': 4, 'churrasqueira': 4, 'perdi': 5, 'amor': 5, 'posso': 5, 'perder': 5, 'sexta': 5, 'coisa': 1, 'linda': 1, 'brigada': 1}"
UM PALMO - Ao Vivo,"Luan Pereira, Léo Foguete","O erro do solteiro é
Não deixar a fila andar pra frente
O erro do solteiro é
Trazer o passado pro presente
Não parei de seguir você
Não parei de curtir suas coisas
Tô sempre online, é só querer
O que é que tem a gente se beijar sem roupa?
Cê tem meu Instagram, sabe que eu sou seu fã
E quando cê me manda uns áudio proibido
Saio que nem louco, cortando o giro
Meu paraíso é a um palmo do seu umbigo
Cê tem meu Instagram, sabe que eu sou seu fã
E quando cê me manda uns áudios proibidos
Saio que nem louco, cortando o giro
Meu paraíso é a um palmo do seu umbigo
Não parei de seguir você
Não parei de curtir suas coisas
Tô sempre online, é só querer
O que é que tem a gente se beijar sem roupa?
Cê tem meu Instagram, sabe que eu sou seu fã
E quando cê me manda uns áudios proibidos
Saio que nem louco, cortando o giro
Meu paraíso é a um palmo do seu umbigo
Cê tem meu Instagram, sabe que eu sou seu fã
E quando cê me manda uns áudio proibido
Saio que nem louco, cortando o giro
Meu paraíso é a um palmo do seu umbigo",101,"{'erro': 2, 'solteiro': 2, 'deixar': 1, 'fila': 1, 'andar': 1, 'pra': 1, 'frente': 1, 'trazer': 1, 'passado': 1, 'pro': 1, 'presente': 1, 'parei': 4, 'seguir': 2, 'curtir': 2, 'coisas': 2, 'tô': 2, 'sempre': 2, 'online': 2, 'querer': 2, 'gente': 2, 'beijar': 2, 'roupa': 2, 'cê': 8, 'instagram': 4, 'sabe': 4, 'fã': 4, 'manda': 4, 'uns': 4, 'áudio': 2, 'proibido': 2, 'saio': 4, 'louco': 4, 'cortando': 4, 'giro': 4, 'paraíso': 4, 'palmo': 4, 'umbigo': 4, 'áudios': 2, 'proibidos': 2}"
Mentira Estampada,"Wesley Safadão, Natanzinho Lima","Te entreguei minha vida
Confiei, deixei em tuas mãos
Pensei que fosse um anjo
Mas foi pura ilusão
Mais uma vez quebrei a cara
Você me demonstrou ser mulher de momento
Me enganou e ainda mais
Brincou com meus sentimentos
Por que agiu assim, mentiu pra mim?
Me prometendo os céus, dizendo que me ama
E aí, quando chega da rua eu abro essa porta
Eu sinto outro cheiro quando você me toca
Eu vejo a mentira estampada em tua cara
E aí
Mais uma vez quebrei a cara
Você me demonstrou ser mulher de momento
Me enganou e ainda mais
Brincou com meus sentimentos
Por que agiu assim, mentiu pra mim?
Me prometendo os céus, dizendo que me ama
E aí, que quando chega da rua eu abro essa porta
Eu sinto outro cheiro quando você me toca
Eu vejo a mentira estampada em tua cara
E ai, agiu assim, mentiu pra mim?
Me prometendo os céus, dizendo que me ama (arrocha, arrocha)
E aí, que quando chega da rua eu abro essa porta
Eu sinto outro cheiro quando você me toca
Eu vejo a mentira estampada em tua cara",99,"{'entreguei': 1, 'vida': 1, 'confiei': 1, 'deixei': 1, 'mãos': 1, 'pensei': 1, 'anjo': 1, 'pura': 1, 'ilusão': 1, 'vez': 2, 'quebrei': 2, 'cara': 5, 'demonstrou': 2, 'mulher': 2, 'momento': 2, 'enganou': 2, 'ainda': 2, 'brincou': 2, 'sentimentos': 2, 'agiu': 3, 'assim': 3, 'mentiu': 3, 'pra': 3, 'mim': 3, 'prometendo': 3, 'céus': 3, 'dizendo': 3, 'ama': 3, 'aí': 4, 'chega': 3, 'rua': 3, 'abro': 3, 'porta': 3, 'sinto': 3, 'outro': 3, 'cheiro': 3, 'toca': 3, 'vejo': 3, 'mentira': 3, 'estampada': 3, 'ai': 1, 'arrocha': 2}"
Cantada Boba - Ao Vivo,Jorge & Mateus,"Erro ao buscar letra: Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("".lyric"") to be visible
",0,{}
Descer Pra BC,"Brenno & Matheus, DJ Ari SL","Papai deixou uma herança bem gorda pra mim
Tem terra pra plantar e pra criar uns gadin
Mas eu me dei conta que isso não é pra mim
Prefiro pé na areia do que pé no capim
De tanque cheio a bodona
O cowboy tá sem vergonha
Hoje eu saio da zona rural
Eu tô bicho solto no pique Lobo Mau
Meu ano só começa depois do carnaval
Nóis vai descer, vai descer
Descer lá pra BC no finalzin do ano
Os bombonzin tão bronzeando pra eu chegar e morder
Nóis vai descer, vai descer
Descer lá pra BC no finalzin do ano
Os cowboy vai litorando e vai torar você
Nóis vai descer, vai descer
Descer lá pra BC no finalzin do ano
Os bombonzin tão bronzeando pra eu chegar e morder
Nóis vai descer, vai descer
Descer lá pra BC no finalzin do ano
Os cowboy vai litorando e vai torar você
(Vai descendo, vai descendo, vai descendo)
(Vai descendo, vai descendo, vai descendo)
(Vai descendo, vai descendo, vai descendo)
(É Brenno e Matheus e DJ Ari SL)
(Eu disse: DJ Ari SL)
De tanque cheio a bodona
O cowboy tá sem vergonha
Hoje eu saio da zona rural
Eu tô bicho solto no pique Lobo Mau
Meu ano só começa depois do carnaval
Nóis vai descer, vai descer
Descer lá pra BC no finalzin do ano
Os bombonzin tão bronzeando pra eu chegar e morder
Nóis vai descer, vai descer
Descer lá pra BC no finalzin do ano
Os cowboy vai litorando e vai torar você
Nóis vai descer, vai descer
Descer lá pra BC no finalzin do ano
Os bombonzin tão bronzeando pra eu chegar e morder
Nóis vai descer, vai descer
Descer lá pra BC no finalzin do ano
Os cowboy vai litorando e vai torar você",220,"{'papai': 1, 'deixou': 1, 'herança': 1, 'bem': 1, 'gorda': 1, 'pra': 16, 'mim': 2, 'terra': 1, 'plantar': 1, 'criar': 1, 'uns': 1, 'gadin': 1, 'dei': 1, 'conta': 1, 'prefiro': 1, 'pé': 2, 'areia': 1, 'capim': 1, 'tanque': 2, 'cheio': 2, 'bodona': 2, 'cowboy': 6, 'tá': 2, 'vergonha': 2, 'hoje': 2, 'saio': 2, 'zona': 2, 'rural': 2, 'tô': 2, 'bicho': 2, 'solto': 2, 'pique': 2, 'lobo': 2, 'mau': 2, 'ano': 10, 'começa': 2, 'carnaval': 2, 'nóis': 8, 'vai': 33, 'descer': 24, 'lá': 8, 'bc': 8, 'finalzin': 8, 'bombonzin': 4, 'tão': 4, 'bronzeando': 4, 'chegar': 4, 'morder': 4, 'litorando': 4, 'torar': 4, 'descendo': 9, 'brenno': 1, 'matheus': 1, 'dj': 2, 'ari': 2, 'sl': 2, 'disse': 1}"
Entregador de Flor - Ao Vivo em Brasília,Diego & Victor Hugo,"Vai lá, entregador de flor
Dá assistência pra isso
Que eu e ela tá chamando de amor
Meu coração se acostumou
Que de sete em sete dias eu mando um novo
Porque o outro murchou
Pra não dar tempo dela me esquecer
Toda semana eu mando um buquê
Vou te encher de flor, minha flor
Vou te encher de beijos de amor
Quero ver cê reclamar
Quero ver cê não me amar
Vou te encher de flor, minha flor
Vou te encher de beijos de amor
Quero ver cê reclamar
Quero ver cê não me amar
Vou te encher de flor, eu vou",64,"{'vai': 1, 'lá': 1, 'entregador': 1, 'flor': 6, 'dá': 1, 'assistência': 1, 'pra': 2, 'tá': 1, 'chamando': 1, 'amor': 3, 'coração': 1, 'acostumou': 1, 'sete': 2, 'dias': 1, 'mando': 2, 'novo': 1, 'porque': 1, 'outro': 1, 'murchou': 1, 'dar': 1, 'tempo': 1, 'esquecer': 1, 'toda': 1, 'semana': 1, 'buquê': 1, 'vou': 6, 'encher': 5, 'beijos': 2, 'quero': 4, 'ver': 4, 'cê': 4, 'reclamar': 2, 'amar': 2}"
